zona_division_politico_adminisrativa;nombre_zona;nit;dane_anterior;dane_establecimiento;consecutivo_dane;nombre_sede;tipo_sede;comuna;nombre_comuna;nucleo;numero_oficial;prestacion_servicio;sector;zona_sineb;zona_georeferenciado;barrio;vereda;direccion_sede;telefono_sede;ano_registro
1;ZONA NORORIENTAL;811020856-5;105001002348;105001002348;10500100234801;INSTITUCION EDUCATIVA FE Y ALEGRIA SANTO DOMINGO SAVIO;PRINCIPAL;1;POPULAR;914;98;OFICIAL;Oficial;URBANA;Urbana;Santo Domingo Savio No.1;0;CR 29 110 A 83;5284407;2022.0
1;ZONA NORORIENTAL;"";105001003255;105001002348;10500100234802;SECCION ESCUELA FE Y ALEGRIA SEGUNDA AGRUPACION;SEDE;1;POPULAR;914;98;OFICIAL;Oficial;URBANA;Urbana;Santo Domingo Savio No.2;0;CR 30    110B-24;5721991;2022.0
3;ZONA CENTRO ORIENTAL;811025548-4;105001002356;105001002356;10500100235601;INSTITUCION EDUCATIVA GABRIEL GARCIA MARQUEZ;PRINCIPAL;8;VILLA HERMOSA;924;112;OFICIAL;Oficial;URBANA;Urbana;Villa Lilliam;0;CR 8 A 57 A 93;2260583;2022.0
3;ZONA CENTRO ORIENTAL;"";105001015849;105001002356;10500100235602;SECCION ESCUELA SAN VICENTE DE PAUL;SEDE;8;VILLA HERMOSA;924;112;OFICIAL;Oficial;URBANA;Urbana;Las Estancias;0;CR 6F    54-133;2210507;2022.0
4;ZONA CENTRO OCCIDENTAL;811039270-3;105001002461;105001002461;10500100246101;INSTITUCION EDUCATIVA LUCRECIO JARAMILLO VELEZ;PRINCIPAL;11;LAURELES ESTADIO;929;143;OFICIAL;Oficial;URBANA;Urbana;LAURELES;0;CR 79 38 59;408 9980;2022.0
4;ZONA CENTRO OCCIDENTAL;"";105001005321;105001002461;10500100246102;SECCION ESCUELA AGRUPACION COLOMBIA;SEDE;11;LAURELES ESTADIO;929;143;OFICIAL;Oficial;URBANA;Urbana;FLORIDA NUEVA;0;CL 44A    75-68;362 9575;2022.0
2;ZONA NOROCCIDENTAL;811018514-5;105001002470;105001002470;10500100247001;INSTITUCION EDUCATIVA SAN VICENTE DE PAUL;PRINCIPAL;7;ROBLEDO;922;88;OFICIAL;Oficial;URBANA;Urbana;CORDOBA;0;CR 71A N° 79D-01;4423737 - 2576243;2022.0
2;ZONA NOROCCIDENTAL;"";105001000761;105001002470;10500100247002;SECCION ESCUELA ALFREDO COCK ARANGO;SEDE;7;ROBLEDO;922;88;OFICIAL;Oficial;URBANA;Urbana;PEDREGAL;0;CR 70    79A-43;2372103;2022.0
1;ZONA NORORIENTAL;811017359-5;105001002488;105001002488;10500100248801;INSTITUCION EDUCATIVA PEDRO LUIS VILLA;PRINCIPAL;3;MANRIQUE;916;30;OFICIAL;Oficial;URBANA;Urbana;MANRIQUE CENTRAL No2;0;CR 43 66 C 40;2337963;2022.0
1;ZONA NORORIENTAL;"";105001002046;105001002488;10500100248802;SECCION ESCUELA MARCO FIDEL SUAREZ;SEDE;3;MANRIQUE;916;30;OFICIAL;Oficial;URBANA;Urbana;MANRIQUE CENTRAL No2;0;CL 70 A 43 74;2331640;2022.0
1;ZONA NORORIENTAL;"";105001006122;105001002488;10500100248803;SECCION ESCUELA VERSALLES;SEDE;3;MANRIQUE;916;30;OFICIAL;Oficial;URBANA;Urbana;VERSALLES No1;0;CL 71    33-33;2843485;2022.0
6;ZONA SUROCCIDENTAL;811017496-6;105001002496;105001002496;10500100249601;INSTITUCION EDUCATIVA CRISTO REY;PRINCIPAL;15;GUAYABAL;933;164;OFICIAL;Oficial;URBANA;Urbana;CRISTO REY;0;CL 2 SUR 50 D 30;2850778-2850798;2022.0
6;ZONA SUROCCIDENTAL;"";105001010740;105001002496;10500100249602;SECCION ESCUELA CRISTO REY-APOLO;SEDE;15;GUAYABAL;933;164;OFICIAL;Oficial;URBANA;Urbana;CRISTO REY;0;CR 50G  3SUR-34;2556549;2022.0
4;ZONA CENTRO OCCIDENTAL;811017152-8;105001002526;105001002526;10500100252601;INSTITUCION EDUCATIVA SAMUEL BARRIENTOS;PRINCIPAL;12;LA AMERICA;930;148;OFICIAL;Oficial;URBANA;Urbana;CAMPO ALEGRE;0;CL 44 94 119;3004174051;2022.0
4;ZONA CENTRO OCCIDENTAL;"";105001003247;105001002526;10500100252602;SECCION ESCUELA MONSEÑOR PERDOMO;SEDE;13;SAN JAVIER;930;148;OFICIAL;Oficial;URBANA;Urbana;SAN JAVIER No.1;0;CL 44    97-14;2529888;2022.0
4;ZONA CENTRO OCCIDENTAL;"";105001001341;105001002526;10500100252603;SECCION ESCUELA PIO XII;SEDE;13;SAN JAVIER;930;148;OFICIAL;Oficial;URBANA;Urbana;SAN JAVIER No.1;0;CR 98    44-52;2531446;2022.0
3;ZONA CENTRO ORIENTAL;811034828-1;105001002780;105001002780;10500100278001;INSTITUCION EDUCATIVA SAN FRANCISCO DE ASIS;PRINCIPAL;8;VILLA HERMOSA;924;113;OFICIAL;Oficial;URBANA;Urbana;Villatina;0;CL 56 16 18;2690520;2022.0
4;ZONA CENTRO OCCIDENTAL;811039065-1;105001002798;105001002798;10500100279801;INSTITUCION EDUCATIVA MATER DEI;PRINCIPAL;11;LAURELES ESTADIO;929;144;OFICIAL;Oficial;URBANA;Urbana;SAN JOAQUÍN;0;CR 68 42 70;407 96 65;2022.0
4;ZONA CENTRO OCCIDENTAL;811016885-3;105001002895;105001002895;10500100289501;INSTITUCION EDUCATIVA FRANCISCO ANTONIO ZEA;PRINCIPAL;12;LA AMERICA;930;149;OFICIAL;Oficial;URBANA;Urbana;SIMÓN BOLÍVAR;0;CR 82 35 40;4122361;2022.0
4;ZONA CENTRO OCCIDENTAL;"";105001000221;105001002895;10500100289502;SECCION ESCUELA PEDRO DE CASTRO;SEDE;12;LA AMERICA;930;149;OFICIAL;Oficial;URBANA;Urbana;BARRIO CRISTÓBAL;0;CL 40    86A-101;2538107;2022.0
4;ZONA CENTRO OCCIDENTAL;811018721-3;105001002976;105001002976;10500100297601;INSTITUCION EDUCATIVA LA PIEDAD;PRINCIPAL;12;LA AMERICA;930;150;OFICIAL;Oficial;URBANA;Urbana;FERRINI;0;CR 81 54 71;529 91 64;2022.0
6;ZONA SUROCCIDENTAL;811045448-1;105001003123;105001003123;10500100312301;INSTITUCION EDUCATIVA FATIMA NUTIBARA;PRINCIPAL;16;BELÉN;934;171;OFICIAL;Oficial;URBANA;Urbana;FÁTIMA;0;CR 65 A 32 B 120;2354351 - 2658442-2655463;2022.0
6;ZONA SUROCCIDENTAL;"";105001002518;105001003123;10500100312302;SECCION ESCUELA SOFIA OSPINA DE NAVARRO;SEDE;16;BELÉN;934;171;OFICIAL;Oficial;URBANA;Urbana;FÁTIMA;0;CL 32    65-20;2655463 3513394;2022.0
1;ZONA NORORIENTAL;811021822-1;105001003131;105001003131;10500100313101;INSTITUCION EDUCATIVA REPUBLICA DE HONDURAS;PRINCIPAL;2;SANTA CRUZ;915;17;OFICIAL;Oficial;URBANA;Urbana;La Rosa;0;CR 50 B 97 A 30;5270825;2022.0
1;ZONA NORORIENTAL;"";105001018775;105001003131;10500100313102;SECCION ESCUELA MUNICIPAL LA ROSA;SEDE;2;SANTA CRUZ;915;17;OFICIAL;Oficial;URBANA;Urbana;Santa Cruz;0;CR 52     99-24;5270825;2022.0
3;ZONA CENTRO ORIENTAL;890981415-0;105001003221;105001003221;10500100322101;INSTITUCION EDUCATIVA MANUEL JOSE CAYZEDO;PRINCIPAL;9;BUENOS AIRES;926;131;OFICIAL;Oficial;URBANA;Urbana;BARRIO CAICEDO;0;CL 50 29 82;2217929;2022.0
6;ZONA SUROCCIDENTAL;811018854-4;105001003271;105001003271;10500100327101;INSTITUCION EDUCATIVA OCTAVIO HARRY - JACQUELINE KENNEDY;PRINCIPAL;16;BELÉN;935;2;OFICIAL;Oficial;URBANA;Urbana;LAS PLAYAS;0;CL 17 73 37;408 40 72 - 408 37 56;2022.0
6;ZONA SUROCCIDENTAL;"";105001012548;105001003271;10500100327103;SECCION JARDIN INFANTIL NO.1;SEDE;16;BELÉN;935;2;OFICIAL;Oficial;URBANA;Urbana;SAN BERNARDO;0;KR 72 A 20 A 62;3434731-3435181;2022.0
2;ZONA NOROCCIDENTAL;811018519-1;105001003280;105001003280;10500100328001;INSTITUCION EDUCATIVA MARIA MONTESSORI;PRINCIPAL;5;CASTILLA;920;66;OFICIAL;Oficial;URBANA;Urbana;FRANCISCO ANTONIO ZEA;0;CR 69 A 92 C 87;3004182076 - 3155079383;2022.0
2;ZONA NOROCCIDENTAL;"";105001000183;105001003280;10500100328002;SECCION ESCUELA LA UNION;SEDE;5;CASTILLA;920;66;OFICIAL;Oficial;URBANA;Urbana;CASTILLA;0;CR 67 93 75;4713818;2022.0
1;ZONA NORORIENTAL;811017316-9;105001003298;105001003298;10500100329801;INSTITUCION EDUCATIVA LORENZA VILLEGAS DE SANTOS;PRINCIPAL;4;ARANJUEZ;918;49;OFICIAL;Oficial;URBANA;Urbana;ARANJUEZ;0;CR 51 87 40;300 412 44 58;2022.0
1;ZONA NORORIENTAL;"";105001003093;105001003298;10500100329802;SECCION ESCUELA ESTEBAN JARAMILLO;SEDE;4;ARANJUEZ;918;49;OFICIAL;Oficial;URBANA;Urbana;LA PIÑUELA;0;CR 47    89-50;300 412 44 58;2022.0
1;ZONA NORORIENTAL;"";105001000698;105001003298;10500100329803;SECCION ESCUELA SIMONA DUQUE;SEDE;4;ARANJUEZ;918;49;OFICIAL;Oficial;URBANA;Urbana;SAN ISIDRO;0;CR 51    96-44;300 412 44 58;2022.0
4;ZONA CENTRO OCCIDENTAL;811016864-9;105001003387;105001003387;10500100338701;INSTITUCION EDUCATIVA SANTA ROSA DE LIMA;PRINCIPAL;12;LA AMERICA;930;151;OFICIAL;Oficial;URBANA;Urbana;LA FLORESTA;0;CL 45 G 80 95;4122537/2508083 EXT 103-105;2022.0
4;ZONA CENTRO OCCIDENTAL;"";105001000906;105001003387;10500100338702;SECCION ESCUELA REPUBLICA DE PANAMA;SEDE;13;SAN JAVIER;930;151;OFICIAL;Oficial;URBANA;Urbana;LA PRADERA;0;CR 88    49DD-70;2340776;2022.0
4;ZONA CENTRO OCCIDENTAL;"";105001018228;105001003387;10500100338703;SECCION ESCUELA LA PRADERA;SEDE;13;SAN JAVIER;930;151;OFICIAL;Oficial;URBANA;Urbana;LA PRADERA;0;CR 97A    49A-15;2528123;2022.0
1;ZONA NORORIENTAL;811017291-3;105001003425;105001003425;10500100342501;INSTITUCION EDUCATIVA JOSE MARIA BRAVO MARQUEZ;PRINCIPAL;4;ARANJUEZ;917;40;OFICIAL;Oficial;URBANA;Urbana;MANRIQUE CENTRAL No 1;0;CL 70 47 A 04;2635951;2022.0
1;ZONA NORORIENTAL;"";105001006262;105001003425;10500100342503;SECCION ESCUELA PORFIRIO BARBA JACOB;SEDE;4;ARANJUEZ;917;40;OFICIAL;Oficial;URBANA;Urbana;MANRIQUE CENTRAL No 1;0;CR 47    74-32;2636085;2022.0
2;ZONA NOROCCIDENTAL;811024436-3;105001003441;105001003441;10500100344101;INSTITUTO TECNICO INDUSTRIAL PASCUAL BRAVO;PRINCIPAL;7;ROBLEDO;923;3;OFICIAL;Oficial;URBANA;Urbana;Facultad de Minas;0;CL 73    73A-227;316 522 3151;2022.0
6;ZONA SUROCCIDENTAL;811029006-2;105001003450;105001003450;10500100345001;INSTITUCION EDUCATIVA ROSALIA SUAREZ;PRINCIPAL;16;BELÉN;934;172;OFICIAL;Oficial;URBANA;Urbana;BELÉN;0;CR 77    30A-53;3539164;2022.0
6;ZONA SUROCCIDENTAL;"";105001019879;105001003450;10500100345002;SECCION ESCUELA MUNICIPAL BELEN;SEDE;16;BELÉN;934;172;OFICIAL;Oficial;URBANA;Urbana;BELÉN;0;CL 30A    80-18;3539164;2022.0
6;ZONA SUROCCIDENTAL;811021052-5;105001004472;105001004472;10500100447201;INSTITUCION EDUCATIVA LA PRESENTACION;PRINCIPAL;15;GUAYABAL;933;165;OFICIAL;Oficial;URBANA;Urbana;CAMPO AMOR;0;CL 7 56 8;2966700 - 3004526160;2022.0
6;ZONA SUROCCIDENTAL;811021435-2;105001004791;105001004791;10500100479101;INSTITUCION EDUCATIVA SANTO ANGEL;PRINCIPAL;15;GUAYABAL;933;166;OFICIAL;Oficial;URBANA;Urbana;CRISTO REY;0;CL 2 SUR 53 140;3582204;2022.0
1;ZONA NORORIENTAL;811018764-1;105001005291;105001005291;10500100529101;INSTITUCION EDUCATIVA CAMPO VALDES;PRINCIPAL;4;ARANJUEZ;917;41;OFICIAL;Oficial;URBANA;Urbana;CAMPO VALDÉS No 1;0;CL 83 47 33;2631096/2118234;2022.0
1;ZONA NORORIENTAL;811020786-8;105001005339;105001005339;10500100533901;INSTITUCION EDUCATIVA MONSEÑOR FRANCISCO CRISTOBAL TORO;PRINCIPAL;4;ARANJUEZ;918;50;OFICIAL;Oficial;URBANA;Urbana;ARANJUEZ;0;CR 50 D 90 49;5240239;2022.0
1;ZONA NORORIENTAL;"";105001001627;105001005339;10500100533902;SECCION ESCUELA ANA FRANK;SEDE;4;ARANJUEZ;918;50;OFICIAL;Oficial;URBANA;Urbana;ARANJUEZ;0;CR 50AA  88-13;2362053;2022.0
1;ZONA NORORIENTAL;"";105001003310;105001005339;10500100533903;SECCION ESCUELA EPIFANIO MEJIA;SEDE;4;ARANJUEZ;918;50;OFICIAL;Oficial;URBANA;Urbana;ARANJUEZ;0;CL 90    50A-09;2366368;2022.0
3;ZONA CENTRO ORIENTAL;8110176045;105001005347;105001005347;10500100534701;INSTITUCION EDUCATIVA TULIO OSPINA;PRINCIPAL;10;LA CANDELARIA;927;137;OFICIAL;Oficial;URBANA;Urbana;JESÚS NAZARENO;0;CL 60 51 48;5123594;2022.0
1;ZONA NORORIENTAL;900412664-3;105001005380;105001005380;10500100538001;INSTITUCION EDUCATIVA MANUEL URIBE ANGEL;PRINCIPAL;2;SANTA CRUZ;915;21;OFICIAL;Oficial;URBANA;Urbana;Andalucía;0;CR 49 A 107 65;2581854;2022.0
1;ZONA NORORIENTAL;"";105001011983;105001005380;10500100538002;SECCION ESCUELA GERARDO DAVID GIRALDO;SEDE;2;SANTA CRUZ;915;21;OFICIAL;Oficial;URBANA;Urbana;La Francia;0;CR 49C    108-70;5213916;2022.0
3;ZONA CENTRO ORIENTAL;811020369-1;105001005410;105001005410;10500100541001;INSTITUCION EDUCATIVA JUAN DE DIOS CARVAJAL;PRINCIPAL;8;VILLA HERMOSA;924;114;OFICIAL;Oficial;URBANA;Urbana;Villa Hermosa;0;CL 65 AA 36 39;2840808;2022.0
3;ZONA CENTRO ORIENTAL;"";105001000639;105001005410;10500100541002;SECCION ESCUELA BATALLON GIRARDOT;SEDE;8;VILLA HERMOSA;924;114;OFICIAL;Oficial;URBANA;Urbana;Villa Hermosa;0;CL 66 D 39 A 20;2546018;2022.0
3;ZONA CENTRO ORIENTAL;"";105001002836;105001005410;10500100541003;SECCION ESCUELA FRANCISCO ANTONIO URIBE;SEDE;8;VILLA HERMOSA;924;114;OFICIAL;Oficial;URBANA;Urbana;Villa Hermosa;0;CL 66 39 75;2545366;2022.0
2;ZONA NOROCCIDENTAL;811018101-7;105001005495;105001005495;10500100549501;INSTITUCION EDUCATIVA REPUBLICA DE URUGUAY;PRINCIPAL;5;CASTILLA;920;67;OFICIAL;Oficial;URBANA;Urbana;ALFONSO LÓPEZ;0;CL 91 A 70 A 123;2574945;2022.0
1;ZONA NORORIENTAL;811020435-8;105001005525;105001005525;10500100552501;INSTITUCION EDUCATIVA ENRIQUE OLAYA HERRERA;PRINCIPAL;3;MANRIQUE;916;31;OFICIAL;Oficial;URBANA;Urbana;VERSALLES No1;0;CL 71 A 32 18;2911707;2022.0
1;ZONA NORORIENTAL;811026814-3;105001005878;105001005878;10500100587801;INSTITUCION EDUCATIVA FRANCISCO MIRANDA;PRINCIPAL;4;ARANJUEZ;917;42;OFICIAL;Oficial;URBANA;Urbana;MIRANDA;0;CR 51 C 79 56;2335808;2022.0
1;ZONA NORORIENTAL;"";105001002861;105001005878;10500100587802;SECCION ESCUELA JULIO ARBOLEDA;SEDE;4;ARANJUEZ;917;42;OFICIAL;Oficial;URBANA;Urbana;MIRANDA;0;CL 78    51-12;2333510;2022.0
2;ZONA NOROCCIDENTAL;811039002-6;105001006068;105001006068;10500100606801;INSTITUCION EDUCATIVA DINAMARCA;PRINCIPAL;5;CASTILLA;920;68;OFICIAL;Oficial;URBANA;Urbana;ALFONSO LÓPEZ;0;CL 91 65 119;2573923;2022.0
2;ZONA NOROCCIDENTAL;"";105001001686;105001006068;10500100606802;SECCION ESCUELA RICARDO URIBE ESCOBAR;SEDE;5;CASTILLA;920;68;OFICIAL;Oficial;URBANA;Urbana;CARIBE;0;CR 64 B 75 A 49;2570276;2022.0
2;ZONA NOROCCIDENTAL;811019802-6;105001006092;105001006092;10500100609201;INSTITUCION EDUCATIVA JULIO CESAR GARCIA;PRINCIPAL;5;CASTILLA;919;56;OFICIAL;Oficial;URBANA;Urbana;Boyacá las Brisas;0;CL 111 A 65 26;2730139/4620326;2022.0
6;ZONA SUROCCIDENTAL;811019890-4;105001006181;105001006181;10500100618101;INSTITUCION EDUCATIVA PEDRO OCTAVIO AMADO;PRINCIPAL;16;BELÉN;934;173;OFICIAL;Oficial;URBANA;Urbana;ALTAVISTA;0;CR 88 A 18 A 5;2385168/2569394;2022.0
2;ZONA NOROCCIDENTAL;811019634-5;105001006246;105001006246;10500100624601;INSTITUCION EDUCATIVA JORGE ROBLEDO;PRINCIPAL;7;ROBLEDO;923;99;OFICIAL;Oficial;URBANA;Urbana;Robledo;0;CL 65 87 74;4218450;2022.0
2;ZONA NOROCCIDENTAL;811031045-6;105001006483;105001006483;10500100648301;INSTITUCION EDUCATIVA RODRIGO CORREA PALACIO;PRINCIPAL;5;CASTILLA;919;57;OFICIAL;Oficial;URBANA;Urbana;GIRARDOT;0;CL 103 66 63;3004115904;2022.0
4;ZONA CENTRO OCCIDENTAL;900585184-1;105001006556;105001006556;10500100655601;INSTITUCION EDUCATIVA JUAN XXIII;PRINCIPAL;13;SAN JAVIER;930;65;OFICIAL;Oficial;URBANA;Urbana;LA PRADERA;0;CL 49 96 A 11;3004148895;2022.0
1;ZONA NORORIENTAL;811019065-4;105001006718;105001006718;10500100671801;INSTITUCION EDUCATIVA ASIA IGNACIANA;PRINCIPAL;2;SANTA CRUZ;915;15;OFICIAL;Oficial;URBANA;Urbana;La Frontera;0;CL 122 51 B 30;4611821 4641433 4610517;2022.0
1;ZONA NORORIENTAL;"";105001002909;105001006718;10500100671802;SECCION ESCUELA LA FRONTERA;SEDE;2;SANTA CRUZ;915;15;OFICIAL;Oficial;URBANA;Urbana;La Frontera;0;CL 122    50A-14;4617220;2022.0
1;ZONA NORORIENTAL;"";105001003352;105001006718;10500100671803;SECCION ESCUELA ASIA IGNACIANA;SEDE;2;SANTA CRUZ;915;15;OFICIAL;Oficial;URBANA;Urbana;La Frontera;0;CL 123     51A-11;4612580;2022.0
1;ZONA NORORIENTAL;"";105001019437;105001006718;10500100671804;SECCION PREESCOLAR EL PLAYON;SEDE;2;SANTA CRUZ;915;15;OFICIAL;Oficial;URBANA;Urbana;La Frontera;0;CL 126    51-09;4620818;2022.0
4;ZONA CENTRO OCCIDENTAL;811034110-0;105001006980;105001006980;10500100698001;INSTITUCION EDUCATIVA CONCEJO DE MEDELLIN;PRINCIPAL;12;LA AMERICA;930;152;OFICIAL;Oficial;URBANA;Urbana;LA FLORESTA;0;CR 82 47 A 65;4119115;2022.0
4;ZONA CENTRO OCCIDENTAL;811034110-0;105001002330;105001006980;10500100698002;SECCION ESCUELA PICHINCHA;SEDE;12;LA AMERICA;930;152;OFICIAL;Oficial;URBANA;Urbana;LA FLORESTA;0;CR 86    45B-17;4119245;2022.0
4;ZONA CENTRO OCCIDENTAL;811034110  0;105001007609;105001006980;10500100698004;SECCION ESCUELA CLODOMIRO RAMIREZ;SEDE;12;LA AMERICA;930;152;OFICIAL;Oficial;URBANA;Urbana;SANTA LUCIA;0;CR 89A    47B-39;4638122  4238908;2022.0
2;ZONA NOROCCIDENTAL;811018564-3;105001007111;105001007111;10500100711101;INSTITUCION EDUCATIVA SEBASTIAN DE BELALCAZAR;PRINCIPAL;5;CASTILLA;919;58;OFICIAL;Oficial;URBANA;Urbana;HÉCTOR ABAD GÓMEZ;0;CL 103 EE 63 D 185;2674506/2672090;2022.0
4;ZONA CENTRO OCCIDENTAL;811017345-2;105001007188;105001007188;10500100718801;INSTITUCION EDUCATIVA BENEDIKTA ZUR NIEDEN;PRINCIPAL;12;LA AMERICA;930;153;OFICIAL;Oficial;URBANA;Urbana;CAMPO ALEGRE;0;CL 42 C 95 54;4967376;2022.0
1;ZONA NORORIENTAL;811033249-0;105001007218;105001007218;10500100721801;INSTITUCION EDUCATIVA MARIA DE LOS ANGELES CANO MARQUEZ;PRINCIPAL;1;POPULAR;914;4;OFICIAL;Oficial;URBANA;Urbana;Granizal;0;CL 103 33 D 75;5287740/5289494;2022.0
6;ZONA SUROCCIDENTAL;811022003-9;105001007421;105001007421;10500100742101;INSTITUCION EDUCATIVA OCTAVIO CALDERON MEJIA;PRINCIPAL;15;GUAYABAL;933;167;OFICIAL;Oficial;URBANA;Urbana;CAMPO AMOR;0;CR 58 7 157;2554257;2022.0
2;ZONA NOROCCIDENTAL;811017999-9;105001007439;105001007439;10500100743901;INSTITUCION EDUCATIVA PEDRO CLAVER AGUIRRE;PRINCIPAL;5;CASTILLA;920;69;OFICIAL;Oficial;URBANA;Urbana;CASTILLA;0;CR 67 95 118;2372482;2022.0
2;ZONA NOROCCIDENTAL;811021956-8;105001007889;105001007889;10500100788901;INSTITUCION EDUCATIVA JUVENIL NUEVO FUTURO;PRINCIPAL;6;DOCE DE OCTUBRE;921;75;OFICIAL;Oficial;URBANA;Urbana;DOCE DE OCTUBRE No2;0;CL 104CC #80-03;2673506;2022.0
1;ZONA NORORIENTAL;811029728-1;105001007978;105001007978;10500100797801;INSTITUCION EDUCATIVA PABLO NERUDA;PRINCIPAL;2;SANTA CRUZ;915;16;OFICIAL;Oficial;URBANA;Urbana;La Rosa;0;CL 97 A 50AA 49;3004127053;2022.0
2;ZONA NOROCCIDENTAL;811040303-1;105001008249;105001008249;10500100824901;INSTITUCION EDUCATIVA BELLO HORIZONTE;PRINCIPAL;7;ROBLEDO;922;89;OFICIAL;Oficial;URBANA;Urbana;Bello Horizonte;0;CR 86 77AB  53;2346584;2022.0
3;ZONA CENTRO ORIENTAL;811035928-2;105001008389;105001008389;10500100838901;INSTITUCION EDUCATIVA GABRIELA GOMEZ CARVAJAL;PRINCIPAL;9;BUENOS AIRES;926;132;OFICIAL;Oficial;URBANA;Urbana;LORETO;0;CR 32 34 06;2393159;2022.0
3;ZONA CENTRO ORIENTAL;"";105001001333;105001008389;10500100838902;SECCION ESCUELA MERCEDES YEPES ISAZA;SEDE;9;BUENOS AIRES;926;132;OFICIAL;Oficial;URBANA;Urbana;LORETO;0;CR 32 32 A 57;2396564;2022.0
6;ZONA SUROCCIDENTAL;811040452-9;105001008486;105001008486;10500100848601;INSTITUCION EDUCATIVA CAPILLA DEL ROSARIO;PRINCIPAL;16;BELÉN;935;183;OFICIAL;Oficial;URBANA;Urbana;BELÉN RINCÓN;0;CL 6 SUR 79 195;3410913 Ext 101-102;2022.0
1;ZONA NORORIENTAL;811021944-1;105001009652;105001009652;10500100965201;INSTITUCION EDUCATIVA SAN LORENZO DE ABURRA;PRINCIPAL;3;MANRIQUE;916;32;OFICIAL;Oficial;URBANA;Urbana;SANTA INÉS;0;CR 39 # 80- 33;2331978;2022.0
1;ZONA NORORIENTAL;"";105001010995;105001009652;10500100965202;SECCION ESCUELA SAN LORENZO DE ABURRA;SEDE;3;MANRIQUE;916;32;OFICIAL;Oficial;URBANA;Urbana;SANTA INÉS;0;CL 81    40-46;2118231;2022.0
1;ZONA NORORIENTAL;811013474-6;105001009695;105001009695;10500100969501;INSTITUCION EDUCATIVA SAN JUAN BOSCO;PRINCIPAL;4;ARANJUEZ;917;43;OFICIAL;Oficial;URBANA;Urbana;MIRANDA;0;CL 82 50 C 10;3004124853;2022.0
3;ZONA CENTRO ORIENTAL;811022459-3;105001009709;105001009709;10500100970901;INSTITUCION EDUCATIVA FELIX HENAO BOTERO;PRINCIPAL;8;VILLA HERMOSA;924;115;OFICIAL;Oficial;URBANA;Urbana;El Pinal;0;CL 52 NRO 23 51;2260203 - 2699624;2022.0
3;ZONA CENTRO ORIENTAL;"";105001000299;105001009709;10500100970903;SECCION ESCUELA REPUBLICA DEL PERU;SEDE;8;VILLA HERMOSA;924;115;OFICIAL;Oficial;URBANA;Urbana;El Pinal;0;CL 52    23-114;2260203 - 2699624;2022.0
3;ZONA CENTRO ORIENTAL;"";105001002950;105001009709;10500100970904;SECCION ESCUELA MIGUEL DE AGUINAGA;SEDE;8;VILLA HERMOSA;924;115;OFICIAL;Oficial;URBANA;Urbana;Villatina;0;CL 52 16 71;2260203 - 2699624;2022.0
1;ZONA NORORIENTAL;811017537-1;105001009865;105001009865;10500100986501;INSTITUCION EDUCATIVA HERNAN TORO AGUDELO;PRINCIPAL;3;MANRIQUE;916;33;OFICIAL;Oficial;URBANA;Urbana;CAMPO VALDÉS No2;0;CR 45 72 80;2136830;2022.0
1;ZONA NORORIENTAL;"";105001002721;105001009865;10500100986502;SECCION ESCUELA VICTOR GOMEZ RESTREPO;SEDE;3;MANRIQUE;916;33;OFICIAL;Oficial;URBANA;Urbana;CAMPO VALDÉS No2;0;CR 44    78-67;2118250;2022.0
1;ZONA NORORIENTAL;"";105001005428;105001009865;10500100986503;SECCION ESCUELA NUESTRA SEÑORA DE LAS NIEVES;SEDE;3;MANRIQUE;916;33;OFICIAL;Oficial;URBANA;Urbana;CAMPO VALDÉS No2;0;CL 79 44 21;2136830;2022.0
2;ZONA NOROCCIDENTAL;811031904-8;105001010111;105001010111;10500101011101;INSTITUCION EDUCATIVA MAESTRO FERNANDO BOTERO;PRINCIPAL;6;DOCE DE OCTUBRE;921;76;OFICIAL;Oficial;URBANA;Urbana;PEDREGAL;0;CL 104 72 A 80;237 12 35;2022.0
2;ZONA NOROCCIDENTAL;"";105001019232;105001010111;10500101011102;SECCION ESCUELA EL PEDREGAL;SEDE;6;DOCE DE OCTUBRE;921;76;OFICIAL;Oficial;URBANA;Urbana;PEDREGAL;0;CL 104 E 74 109;4761516;2022.0
6;ZONA SUROCCIDENTAL;811021783-0;105001010367;105001010367;10500101036701;INSTITUCION EDUCATIVA SANTOS ANGELES CUSTODIOS;PRINCIPAL;15;GUAYABAL;933;168;OFICIAL;Oficial;URBANA;Urbana;SANTA FÉ;0;CL 16 A 65 G 4;408 28 22 - 300 420 14 28;2022.0
6;ZONA SUROCCIDENTAL;"";105001007722;105001010367;10500101036702;SECCION ESCUELA JUAN PABLO II;SEDE;15;GUAYABAL;933;168;OFICIAL;Oficial;URBANA;Urbana;SANTA FÉ;0;CR 65G    16A-12;2356452;2022.0
2;ZONA NOROCCIDENTAL;811038688-3;105001010448;105001010448;10500101044801;INSTITUCION EDUCATIVA LA ESPERANZA;PRINCIPAL;6;DOCE DE OCTUBRE;921;169;OFICIAL;Oficial;URBANA;Urbana;LA ESPERANZA;0;CR 73 B 96 09;2375615 ext 101-102-103;2022.0
2;ZONA NOROCCIDENTAL;"";105001001058;105001010448;10500101044802;SECCION ESCUELA REPUBLICA DE CUBA;SEDE;6;DOCE DE OCTUBRE;921;169;OFICIAL;Oficial;URBANA;Urbana;CASTILLA;0;CL 97 74 03;2374541;2022.0
